result_id,cluster,size,seq,series,text,begin,end,id,book,Jawwani,Notes
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,154618885446,19,2613,Shamela0012406-ara1.mARkdown,قال سمعت القاسم بن زرزور يقول حدثني زنام الزامر قال لما اعتل المعتصم علته التي مات فيها وجد يوما افاقة فقال هيءوا لي الزلال حتي اركب فهيء له فركب وانا معه فمر بدجلة بازاء منازلة فقال يا زنام قلت لبيك يا امير المءمنين قال ازمر يا منزلا لم تبل اطلاله حاشي لاطلالك ان تبلي والعيش اولي ما بكاه الفتي لا بد للمحزون ان يسلي لم ابك اطلالك لكنني بكيت عيشي فيك اذ ولي قال فزمرته وما زلت اردده وهو ينتحب ويبكي الي ان خرج من الزلال ثم توفي بعد خمسة ايام قال علماء السير لما احتضر جعل يقول ذهبت الحيل ولا حيلة ولو علمت ان عمري قصير هكذا ما فعلت توفي يوم الخميس لثمان عشرة ليلة مضت من ربيع الاول لساعتين مضتا من النهار وقيل لاربع ودفن بسامراء فكانت خلافته ثمان سنين وثمانية اشهر وقيل ويومين وكان ,795,1478,Shamela0012406,0597IbnJawzi.Muntazam,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,154618885446,19,16891,JK000916-ara1.mARkdown,باذنة من الثغور في جمادي الاولي سنة سبع عشرة ومءتين لسوء سيرته في ولايته الجبال فاقدم علي المامون فقتله اخبرنا ابو الحسين محمد بن كامل بن مجاهد انا محمد بن احمد المعدل في كتابه انا محمد بن عمران اجارة اخبرني محمد بن يحيي نا محمد بن يزيد النحوي قال مرت جارية لعلي بن هشام بقصره بعد ما قتل فبكت وقالت يا منزلا لم تبل اطلاله حاشي لاطلالك ان تبلي لم ابك اطلالك لكنني بكيت عيشي فيك اذ ولي قد كان لي فيك هوي مرة غيبه الترب وما ملا اخبرنا ابو بكر بن المزرفي انا ابو منصور محمد بن محمد انا احمد بن محمد بن الصلت انا ابو الفرج الاصبهاني اخبرني ابو العباس الهشامي قال وهي القاءلة يعني مرادا شاعرة علي بن هشام ترثي مواليها هل مسعد لبكاءي بعبرة او دماء وذاك مني قليل لسادتي النجباء ابكيهم في صباحي بلوعة ومساء قال وقالت متيم لمراد قولي اشعارا ترثين بها مولاي حتي الحنها الحان النوح واندبه بها فقالت عدة اشعار في مراثيه وناحت بها متيم منها ,696,1523,JK000916,0571IbnCasakir.TarikhDimashq,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,154618885446,19,1556,JK000927-ara1.completed,المزابل وقفت عليه وتمثلت صوت يا منزلا لم تبل اطلاله حاشا لاطلالك ان تبلي لم ابك اطلالك لكنني بكيت عيشي فيك اذ ولي قد كان بي فيك هوي مرة غيبه الترب وما ملا فصرت ابكي جاهدا فقده عند ادكاري حيثما حلا فالعيش اولي ما بكاه الفتي لا بد للمحزون ان يسلي فيه رمل بالوسطي لابن جامع قال ثم بكت حتي سقطت من قامتها وجعل النسوة يناشدنها ويقلن الله الله في نفسك فانك تءخذين الان فبعد لاي ما حملت تتهادي بين امراتين حتي تجاوزت الموضع ,413,830,JK000927,0362AbuFarajIsbahani.Aghani,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,154618885446,19,4943,SHAM19Y23644-ara1,جارية له بعد قتله علي قصره فبكت وقالت من السريع يا منزلا لم تبل اطلاله حاشا لاطلالك ان تبلي لم ابك اطلالك لكنني بكيت عيشا فيك اذ ولي قد كان لي فيك هوي مرة غيبه الترب وما ملا والعيش اولي ما بكاه الفتي لا بد للمحزون ان يسلي واسم هذه الجارية مراد وكانت شاعرة فصيحة رءيسة فقالت من المجتث هل مسعد لبكاءي بعبرة او دماء وذاك مني قليل لسيد النجباء ابكيتهم في صباحي بلوعتي ,1131,1495,SHAM19Y23644,0654SibtIbnJawzi.MiratZaman,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,154618885446,19,5094,SHAM19Y23644-ara1,الطبري عن زنام الزامر قال وجد المعتصم في علته التي مات فيها خفة وافاقة فقال هيءوا لي الزلال فهيءه له وركب وركبت معه فقال يا زنام ازمر لي من مجزوء البسيط يا منزلا لم قبل اطلاله حاشا لاطلالك ان تبلي لم ابك اطلالك لكنني بكيت عيشا فيك اذ ولي والعيش اولي ما بكاه الفتي لا بد للمحزون ان يسلي ثم دعا برطلية فشربها وما زال يبكي وانا ازمر حتي رجع الي ,234,576,SHAM19Y23644,0654SibtIbnJawzi.MiratZaman,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,154618885446,19,385,Shamela0000176-ara1.completed,يا منزلا لم تبل اطلاله حاشا لاطلالك ان تبلي لم ابك اطلالك لكنني بكيت عيشي فيك اذ ولي والعيش اولي ما بكاه الفتي لا بد للمحزون ان يسلي فاذا ,332,470,Shamela0000176,0845Maqrizi.ItticazHunafa,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,154618885446,19,4284,Shamela0009783BK1-ara1.mARkdown,معه فمر في دجلة بازاء منازله فقال يا زنام ازمر لي يا منزلا لم تبل اطلاله حاشي لاطلالك ان تبلي لم ابك اطلالك لكنني بكيت عيشي فيك اذ ولي والعيش اولي ما بكاه الفتي لا بد للمحزون ان يسلي قال فما زلت ازمر هذا الصوت حتي دعا برطلية فشرب منها قدحا وجعلت ازمره واكرره وقد تناول منديلا بين يديه فما زال يبكي ويمسح دموعه فيه وينتحب حتي رجع الي منزله ولم يستتم شرب الرطلية وذكر عن علي بن الجعدانة قال لما احتضر المعتصم جعل يقول ذهبت الحيل ليست حيلة حتي اصمت وذكر عن غيره انه جعل يقول اني اخذت من بين هذا الخلق وذكر عنه انه قال لو علمت ان عمري هكذا قصير ما فعلت ما فعلت فلما مات دفن بسامرا فكانت خلافته ثماني سنين وثمانية اشهر ويومين وقيل كان مولده سنة ثمانين وماءة في شعبان وقيل كان في سنة تسع وسبعين وماءة فان كان مولده سنة ثمانين وماءة فان عمره كله كان ستا واربعين سنة وسبعة اشهر وثمانية عشر يوما وان كان مولده سنة تسع وسبعين وماءة فان عمره كان سبعا واربعين سنة وشهرين وثمانية عشر يوما وكان فيما ذكر ابيض اصهب اللحية طويلها مربوعا مشرب اللون حمرة حسن العينين وكان مولده بالخلد وقال بعضهم ولد سنة ثمانين وماءة في الشهر الثامن وهو ثامن الخلفاء ,1,1033,Shamela0009783BK1,0310Tabari.Tarikh,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,154618885446,19,2298,JK000911-ara1.mARkdown,قال زنام الزامر افاق المعتصم في علته التي مات فيها افاقة قال هيءوا لي الزلال لاركب غدا فركب في الزلال في دجلة وانا معه فمر بازاء منازله فقال يا زنام ازمر لي يا منزلا لم تبل اطلاله حاشي لاطلالك ان تبلي لم ابك اطلالك لكنني بكيت عيشي فيك اذ ولي والعيش اولي ما بكاه الفتي لا بد للمحزون ان يسلي قال فما زلت ازمر له هذا الصوت واكرره وقد تناول منديلا بين يديه فما زال يبكي فيه وينتحب حتي رجع الي منزله ولما احتضر المعتصم جعل يقول ذهبت الحيل ليست حيلة حتي اصمت ثم مات ودفن بسامرا وكان خلافته ثمان سنين وثمانية اشهر ويومين وكان مولده سنة تسع وسبعين وماءة وقيل سنة ثمانين وماءة في الشهر الثامن وهو ثامن الخلفاء ,934,1535,JK000911,0630IbnAthirCizzDin.Kamil,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,154618885446,19,254,Shamela0001000-ara1.completed,يا منزلا لم تبل اطلاله حاشا لاطلالك ان تبلي لم ابك اطلالك لكنني بكيت عيشي فيك اذ ولي والعيش اولي ما بكاه الفتي لابد للمحزون ان يسلي ,1033,1165,Shamela0001000,0681IbnKhallikan.WafayatAcyan,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,154618885446,19,13,JK010672-ara1,يا منزلا لم تبل اطلاله حاشي لاطلالك ان تبلي لم ابك اطلالك لكنني بكيت نفسي فيك اذ ولي والعيش اولي ما بكاه الفتي لا بد للمحزون ان يسلي ,524,657,JK010672,0425RaqiqQayruwani.QutbSurur,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,154618885446,19,452,Sham19Y0000760-ara1,قال القاسم بن زرزور الزامر حدثني زنام الزامر قال لما اعتل المعتصم علته التي مات منها قال هيءوا لي الزلال حتي اركبه فهيء له فركب واتي فيمن معه فمر بدجلة بازاء منازله فقال يا زنام قلت لبيك يا امير المءمنين قال ازمر السريع يا منزلا لم تبل اطلاله حاشا لاطلالك ان تبلي العيش اولي ما بكاه الفتي لا بد للمحزون ان يسلي لم ابك اطلالك لكنني بكيت عيشي فيك اذ ولي قال فزمرت وما زلت اردده وهو ينتحب ويبكي ,1138,1530,Sham19Y0000760,0619AbuCabbasSharishi.SharhMaqamatHariri,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,154618885446,19,5,Shamela0005416-ara1.completed,عن زنام الزامر قال لما اشتد بالمعتصم المرض في مرضه الذي مات فيه افاق في بعض الايام فقال هيءوا لي الزلال لاركب فيه في دجلة غدا فعملوه فركب وركبت معه فمر في دجلة بازاء منازله فقال يا زنام ازمرلي يا منزلا لم تبل اطلاله حاشا لاطلالك ان تبلي لم ابك اطلالك لكنني بكيت عيشي فيك اذ ولي والعيش اولي ما بكاه الفتي لا بد للمخزون ان يسلي قد كان لي فيك هوي مرة غيره الدهر وما ملا فما زال ينتحب حتي عاد علي منزله مات المعتصم ,560,971,Shamela0005416,0584IbnMunqidhShayzari.ManazilWaDiyar,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,154618885446,19,28,Shamela0009221-ara1.completed,المزابل وهو مسود فوقعت مغشيا عليها ثم افاقت وقالت يا منزلا لم تبل اطلاله حاشا لاطلالك ان تبلي لم ابك اطلالك لكنني بكيت عيشي فيك ولي قد كان لي فيك هوي مرة غيبه الترب وما ملا فصرت ابكي بعده جاهدا عند ادكاري حيث قد حلا والعيش اولي ما بكاه الفتي لا بد للمحزون ان يسلي قال ثم بكت حتي سقطت من قامتها وجعل النسوة يناشدنها ويقلن الله الله في نفسك فانك الان تءخذين فبعد لاي ما احتملت تتهادي بين امراتين حتي جاوزت الموضع ,1092,1503,Shamela0009221,0362AbuFarajIsbahani.ImaShawacir,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,481036357845,2,385,Shamela0000176-ara1.completed,ومن عجيب ما وقع ان امراة من ارباب البيوت عرضت عقدا لها قيمته الف دينار علي جماعة ليعطوها به دقيقا وهم يعتذرون اليها ويدفعونها الي ان رق لها رجل وباعها به تليس دقيق فحملته من مصر واكترت معها من يحفظه من النهابة وسارت تريد منزلها بالقاهرة فسلمه الحملة اليها عند بابي زويلة فلم تمش به غير قليل حتي تكاثر الناس عليها وانتهبوه منها فانتهبت هي ايضا منه مع النهابة فصار اليها ملء يديها دقيقا لم ينبها منه غيره فعجنته وشوته ثم مضت الي باب القصر ووقفت علي موضع مرتفع ورفعت القرصة في يدها حتي يراها الناس ونادت باعلي صوتها ياهل القاهرة ادعوا لمولانا المستنصر الذي اسعد الله الناس بايامه واعاد عليهم بركات حسن نظره حتي تقومت علي هذه القرصة بالف دينار ,559,1199,Shamela0000176,0845Maqrizi.ItticazHunafa,,Another fitna anecdote
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,481036357845,2,79,Kraken210223142017-ara1,ومن غريب ما وقع ان امراة من ارباب البيوتات اخذت عقدا لها قيمته الف دينار لا وعرضته علي جماعة في ان يعطوها به دقيقا وكل يعتذر اليها ويدفعها عن نفسه الي ان يرحمها بعض الناس وباعها به تليس دقيق بصر وكانت تسكن بالقاهرة فلما اخذته اعطت بعضه لمن يحميه من النهابة في الطريق فلما وصلت الي باب زويلة تسلمته من الحماة له ومشت قليلا فتكاثر الناس عليها وانتهبوه تهبا فاخذت هي ايضا مع الناس من الدقيق هلء يديها لم ينيها غيره ثم عجنته وشوته فلما صار قرصة اخذتها معها وتوصلت الي احد ابواب القصر ووقفت علي مكان مرتفع رقعت القرصة علي يدها بحيث يراها الناس وتادت باعلي صوتها يا اهل القاهرة ادعوا لمولانا المستنصر الذي اسعد الله الناس ل بايامه واعاد عليهم بركات حسن نظره حتي تقومت علي هذه القرصة بالف ديتار ,827,1515,Kraken210223142017,0845Maqrizi.IghathaUmma,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,309237724955,3,6463,Shamela0010283-ara1.mARkdown,بعض اهل اليسار وقف بباب القصر وصاح واستصرخ الي ان احضر بين يدي المستنصر فقال له يا مولانا هذه سبعون قمحة وقفت علي بسبعين دينارا كل قمحة بدينار في ايامك وهو اني اشتريت اردب قمح بسبعين دينار فنهب مني فنهبت مع من مهب فوقع في يدي هذه فكل قمحة بدينار فقال المستنصر الان فرج ,1130,1399,Shamela0010283,0733Nuwayri.NihayatArab,,Another fitna anecdote
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,309237724955,3,385,Shamela0000176-ara1.completed,بعض المياسير بباب القصر وصرح الي ان احضر المستنصر فلما وقف بين يديه قال يا مولانا هذه سبعون قمحة وقفت علي بسبعين دينارا كل حبة قمح بدينار في ايامك وهو اني اشتريت اردبا بسبعين دينارا فنهب مني ولم يبق في منه سوي ما وقع بيدي وانتهابي منه مع من نهب فعددت ما في يدي فجاء سبعين حبة من قمح واذا كل حبة بدينار فقال المستنصر الان فرج ,1208,1533,Shamela0000176,0845Maqrizi.ItticazHunafa,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,309237724955,3,88,Kraken210528115855-ara1,بعض المياسير مرة علي باب القصر ونادي واستصرخ الي ان حضر للمستنصر فقال سم له يا مولانا هذه سبعون قمحة وقفت بسبعين دينارا كل قمحة بدينار في ايامك وهو اني اشتريت قمحا بسبعين دينارا ز فنهب مني فنهبت في جملة من نهب فوقع في يدي هذا ال اذا هي كل قمحة بدينار فقال المستنصر الان فرج ,161,435,Kraken210528115855,0677IbnMuyassar.AkhbarMisr,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.1,63827,3,493,Shamela0000176-ara1.completed,فقال الحافظ لطبيبه اكفني امره بماكل او مشرب فابي الطبيب ذلك خوفا من سوء العاقبة ويقال ان الحافظ توصل الي ان سم يانس في ماء المستراح فانفتح دبره واتسع حتي ما بقي بقدر علي الجلوس فقال الطبيب يا امير المءمنين قد امكنت الفرصة وبلغت مقصودك فلو ان مولانا عاده في هذه المرضة اكتسبت حسن الاحدوثة وهذا المرض ليس دواءه الا السكون ولا شء اضر عليه من الحركة والانزعاج وهو كما يسمع بقصد مولانا تحرك واهتم بلقاءه وانزعج وفي ذلك تلاف نفسه فقبل ذلك ,164,597,Shamela0000176,0845Maqrizi.ItticazHunafa,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.1,63827,3,1151,Shamela0011566-ara1.completed,فقال لطبيبه اكفني امره بماكل او مشرب فابي الطبيب ذلك خوفا ان يصير عند الحافظ بهذه العين وربما قتله بها والحافظ يحثه علي ذلك فاتفق ليانس الوزير المذكور انه مرض بزحير وان الحافظ خاطب الطبيب بذلك فقال يا مولاي قد امكنتك الفرصة وبلغت مقصودك ولو ان مولانا عادة في هذه المرضة اكتسب حسن احدوثة وهذه المرضة ليس دواءه منها الا الدعة والسكون ولا شء اضر عليه من الانزعاج والحركة فبمجرد ما سمع بقصد مولانا له تحرك واهتم بلقاء مولانا وانزعج وفي ذلك تلاف نفسه ففعل الخليفة ذلك ,390,853,Shamela0011566,0845Maqrizi.Mawaciz,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.1,63827,3,1152,Shamela0011566-ara1.completed,في ماء المستراح فانفتح دبره واتسع حتي ما بقي يقدر علي الجلوس فقال الطبيب يا امير المءمنين قد امكنتك الفرصة وبلغت مقصودك فلو ان مولانا عاده في هذه المرضة اكتسب حسن الاحدوثة فان هذا المرض ليس له دواء الا الدعة والسكون ولا شء عليه اضر من الحركة والانزعاج وهو اذا سمع بقصد ,1356,1625,Shamela0011566,0845Maqrizi.Mawaciz,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.1,63826,2,493,Shamela0000176-ara1.completed,مولانا تحرك واهتم بلقاءه وانزعج وفي ذلك تلاف نفسه فقبل ذلك وجاء لعيادته فلما راه يانس قام للقاءه وخرج عن فراشه فاطال الحافظ جلوسه عنده ومحادثته فلم يقم حتي سقطت امعاءه ومات من ليلته في سادس عشري ذي الحجة وكانت وزارته تسعة اشهر واياما وترك ولدين كفلهما الحافظ وكان يانس هذا قد اهداه باديس جد عباس الوزير الاتي ذكره ان شاء الله تعالي الي الافضل بن امير الجيوش فترقي في الخدم الي ان تامر وتقدم وولي الباب وهي اعظم رتب الامراء وكني بابي الفتح ولقب بالسعيد ثم نعت في وزارته بناصر الجيوش سيف الاسلام وكان عظيم الهمة بعيد الغور كثير الشر شديد الهيبة ,538,1081,Shamela0000176,0845Maqrizi.ItticazHunafa,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.1,63826,2,1153,Shamela0011566-ara1.completed,مولانا له تحرك واهتم للقاء وانزعج وفي ذلك تلاف نفسه فنهض لعيادته وعند ما بلغ ذلك يانس قام ليلقاه ونزل عن الفراش وجلس بين يدي الخليفة فاطال الخليفة جلوسه عنده وهو يحادثه فلم يقم حتي سقطت امعاء يانس ومات من ليلته في سادس عشري ذي الحجة سنة ست وعشرين وخمسماءة وكانت وزارته تسعة اشهر واياما وترك ولدين كفلهما الحافظ واحسن اليهما وكان يانس هذا مولي ارمنيا لباديس جد عباس الوزير فاهداه الي الافضل بن امير الجيوش وترقي في خدمته الي ان تامر ثم ولي الباب وهي اعظم رتب الامراء وكني بابي الفتح ولقب بالامير السعيد ثم لما ولي الوزارة نعت بناصر الجيوش سيف الاسلام وكان عظيم الهمة بعيد الغور كثير الشر شديد الهيبة ,1,600,Shamela0011566,0845Maqrizi.Mawaciz,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.1,300647816225,4,6497,Shamela0010283-ara1.mARkdown,اليه وامر ان يدعي له علي المنابر اللهم صل علي الذي شيدت به الدين بعد ان رام الاعداء دثوره واقررت الاسلام بان جعلت طلوعه علي الامة وظهوره وجعلته اية لمن يدبر الحقاءق بباطن البصيرة مولانا وسيدنا وامام عصرنا وزماننا عبد المجيد ابي الميمون وعلي اباءه الطاهرين وابناءه الاكرمين صلاة داءمة الي يوم الدين ,46,344,Shamela0010283,0733Nuwayri.NihayatArab,?,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.1,300647816225,4,494,Shamela0000176-ara1.completed,المنابر بهذا الدعاء وهو اللهم صل علي الذي شيدت به الدين بعد ان رام الاعداء دثوره واعززت الاسلام بان جعلت طلوعه علي الامة وظهوره وجعلته اية لمن تدبر الحقاءق بباطن البصيرة مولانا وسيدنا وامام عصرنا وزماننا عبد المجيد ابي الميمون وعلي اباءه الطاهرين وابناءه الاكرمين صلاة داءمة الي يوم الدين ,1,290,Shamela0000176,0845Maqrizi.ItticazHunafa,?,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.1,300647816225,4,150,Kraken210528115855-ara1,ان يدعي علي المنابر اللهم صلي علي الذي شيدت به الدين بعد ان رام الاعداء دثوره واقررت الاسلام بان جعلت طلوع علي الامة وظهوره اية لمن تدبر الحقاءق بباطن البصيرة مولانا وسيدنا وامام عصرنا وزماننا عبد االجيد ابي الميمون وعلي اباءه الطاهرين وابناءه الاكرمين صلاة داءمة الي يوم الدين ,473,751,Kraken210528115855,0677IbnMuyassar.AkhbarMisr,?,
