section,st_pos,mid_pos,w_count,date,century,25-y,Name
127,35218,35241.5,47,268,200,275,إبراهيم بن خالد الإلبيري 
128,35265,35294.5,59,668,600,675,أبو إسحاق الخلخالي 
130,35384,35611.5,455,620,600,625,السنهوري الناسك 
132,35902,35938.5,73,266,200,275,ابن أبي طيبة العدوي 
133,35975,36008.0,66,298,200,300,أبو إسحاق الصيرفي 
136,36347,36377.0,60,362,300,375,إبراهيم بن دواس حصن الإسلام 
139,36535,36559.5,49,378,300,400,أبو إسحاق العسال 
140,36584,36590.0,12,653,600,675,ابن سباع الفزاري 
141,36596,36635.5,79,132,100,150,إبراهيم بن زبان الأموي 
144,36768,36806.5,77,299,200,300,أبو إسحاق قلنسوة 
145,36845,37530.0,1370,311,300,325,الزجاج النحوي 
150,38789,38812.5,47,260,200,275,أبو الحسن التجيبي العامري 
155,39433,39584.0,302,272,200,275,أبو إسحاق البرلسي 
157,39871,39891.5,41,363,300,375,أبو إسحاق العسكري 
158,39912,39927.0,30,690,600,700,إبراهيم النقلي 
159,39942,39963.0,42,489,400,500,أبو إسحاق البزاز 
160,39984,40049.0,130,491,400,500,أبو سعد الرازي 
161,40114,40128.0,28,174,100,175,أبو الجوشن البكري 
166,40655,40679.5,49,265,200,275,ابن شعيب الإلبيري 
169,40917,40972.0,110,467,400,475,ابن شكر الحامي الواعظ 
171,41116,41397.0,562,153,100,175,ابن أبي عبلة 
172,41678,41994.5,633,337,300,350,أبو إسحاق القرميسيني 
173,42311,42751.0,880,176,100,200,إبراهيم بن صالح العباسي 
174,43191,43251.5,121,547,500,550,ابن السماذ الأندلسي 
176,43417,43446.5,59,656,600,675,أبو إسحاق السخاوي 
177,43476,43508.0,64,447,400,450,أبو إسحاق الحوفي 
180,43641,43681.0,80,659,600,675,ابن السنجاري 
186,44049,44085.0,72,301,300,325,أبو إسحاق ابن عاصم 
187,44121,44177.0,112,646,600,650,ابن عبدان الأطروشي 
188,44233,44313.0,160,721,700,725,القاضي ابن هبة الله الإسنائي 
189,44393,44425.5,65,728,700,750,ابن عبد المغيث القوصي 
191,44558,44576.5,37,445,400,450,أبو إسحاق الجنائزي 
192,44595,44650.5,111,576,500,600,ابن الشرابي الناسخ 
193,44706,44722.5,33,295,200,300,ابن عفير الصيرفي 
195,44851,44917.0,132,303,300,325,أبو إسحاق الأزرق الخشاب 
196,44983,45010.0,54,637,600,650,إبراهيم بن عثمان الدمشقي الزاهد 
198,45178,45206.5,57,270,200,275,ابن عجنس الزبادي 
199,45235,45278.5,87,744,700,750,القاضي ابن عرفات القنائي 
201,45369,45393.5,49,742,700,750,ابن ms0132 حمود الحنفي 
202,45418,45443.0,50,420,400,425,أبو إسحاق البيضاوي 
204,45625,45650.5,51,728,700,750,أبو إسحاق الزرزائي 
205,45676,45791.0,230,360,300,375,أبو محمد الحنائي 
207,46331,46349.5,37,376,300,400,إبراهيم ابن هبة الله الضراب 
209,46410,46443.5,67,613,600,625,نصير الدين القصار 
210,46477,46504.5,55,639,600,650,أبو إسحاق القلغائي 
211,46532,46548.0,32,422,400,425,ابن رقارق 
214,46753,46803.5,101,647,600,650,ابن بقي المنجنيقي 
215,46854,46911.0,114,656,600,675,ابن أبي الدنيا الأندلسي 
216,46968,47017.0,98,715,700,725,ابن الفهاد القوصي 
217,47066,47113.5,95,358,300,375,أبو إسحاق الديلمي الصوفي 
220,47318,47349.5,63,251,200,275,أبو إسحاق ابن عبد الجبار الأزدي 
222,47444,47503.0,118,721,700,725,أبو إسحاق التليدمي 
224,47644,47679.0,70,716,700,725,سبط أبي الحسن الشاذلي 
228,48013,48044.5,63,673,600,675,شهاب الدين القرميسيني 
229,48076,48102.5,53,384,300,400,أبو إسحاق التمار 
230,48129,48148.0,38,306,300,325,"""قلانس"" "
231,48167,48325.5,317,641,600,650,ابن مهيب الإشبيلي 
232,48484,48499.0,30,618,600,625,القطب المصري 
233,48514,48542.0,56,607,600,625,برهان الدين الغزولي 
236,48906,48912.0,12,627,600,650,تاج الدين ابن التيجي 
239,49323,49418.0,190,319,300,325,أبو إسحاق المرواني الحافظ 
241,49699,49746.0,94,245,200,250,ابن أبي الفياض البرقي 
242,49793,49823.0,60,802,800,825,إبراهيم شيخ 
244,49911,50021.0,220,674,600,675,كمال الدين ابن شيث 
246,52431,52453.0,44,621,600,625,زين الدين ابن عز 
247,52475,52570.5,191,282,200,300,أبو إسحاق الوشاء الضرير 
248,52666,52753.0,174,644,600,650,سعد الدين ابن الموفق الطبيب 
250,52993,53060.0,134,598,500,600,أبو إسحاق الجزري 
251,53127,53140.0,26,303,300,325,أبو إسحاق الحراني 
252,53153,53166.5,27,469,400,475,أبو إسحاق الأشبوني 
256,53482,53517.5,71,692,600,700,أبو يونس ابن عبد القوي 
257,53553,53674.5,243,404,400,425,ابن حصن محتسب دمشق 
263,54411,54441.0,60,358,300,375,ابن الأعرج الحسيني 
264,54471,54516.5,91,636,600,650,أبو إسحاق اليابري 
266,54627,54661.0,68,601,600,625,ابن الراعي 
267,54695,54734.0,78,331,300,350,أبو إسحاق الرشيدي 
268,54773,54799.5,53,340,300,350,أبو القاسم الطرائفي 
272,54996,55013.0,34,294,200,300,أبو إسحاق ابن معدان 
273,55030,55061.0,62,220,200,225,أبو إسحاق الحضرمي 
274,55092,55153.0,122,584,500,600,أبو إسحاق الحرستاني 
276,55351,55454.0,206,343,300,350,النجيرمي النحوي 
279,56065,56085.5,41,205,200,225,أبو إسحاق الخفاف 
281,56430,56454.5,49,307,300,325,أبو إسحاق السمرقندي 
282,56479,56551.0,144,612,600,625,سديد الدين ابن سماقة الأسعردي 
284,56694,56725.5,63,291,200,300,إبراهيم السرحي 
287,57090,57124.0,68,302,300,325,أبو إسحاق الزوفي 
288,57158,57181.5,47,263,200,275,أبو بكر ابن العاصي المكي 
290,57232,57246.5,29,614,600,625,أبو إسحاق الطحان 
291,57261,57315.0,108,386,300,400,أبو إسحاق ابن داود 
292,57369,57392.5,47,720,700,725,شرف الدين ابن القليوبي 
293,57416,57437.0,42,567,500,575,أبو إسحاق الجابري 
294,57458,57509.0,102,260,200,275,أبو إسحاق الطحاوي 
295,57560,57639.0,158,667,600,675,ضياء الدين ابن شهيد البرشاني 
296,57718,57743.0,50,421,400,425,أبو إسماعيل ابن عبدون 
298,57845,57872.0,54,681,600,700,شرف الدين ابن فرح 
299,57899,57917.5,37,225,200,225,ابن الغمر الغساني 
300,57936,58070.5,269,440,400,450,أبو نصر التستري 
302,58335,58340.5,11,629,600,650,برهان الدين الجزري 
303,58346,58430.5,169,731,700,750,مجد الدين ابن لقينة 
306,59206,59235.5,59,282,200,300,أبو إسحاق القيسي القرطبي 
307,59265,59479.5,429,425,400,425,الرقيق القيرواني 
308,59694,59806.0,224,308,300,325,إبراهيم بن كيغلغ 
311,60595,61359.5,1529,676,600,700,إبراهيم الدسوقي الصوفي 
312,62124,62201.0,154,604,600,625,أبو إسحاق البغدادي البزاز 
313,62278,62343.0,130,581,500,600,فخر الدولة الأسواني 
314,62408,62459.5,103,420,400,425,أبو إسحاق الحنائي 
315,62511,62545.5,69,649,600,650,ابن الولي 
317,62647,62693.5,93,368,300,375,ابن شرسان السهمي 
318,62740,62771.0,62,711,700,725,ابن سرور المقدسي 
319,62802,62853.0,102,620,600,625,ابن عليب القيجاطي 
323,63320,63435.0,230,365,300,375,أبو إسحاق النسائي الرعيني 
329,63942,63998.0,112,739,700,750,أبو إسحاق الساحلي الطويجن 
330,64054,64094.5,81,570,500,575,ابن الحطاب الرازي 
332,64254,64375.5,243,338,300,350,أبو إسحاق العطار الدمشقي 
336,64922,65602.0,1360,367,300,375,أبو القاسم النصراباذي 
337,66282,66355.0,146,644,600,650,ابن سني الدولة 
338,66428,66471.5,87,576,500,600,كوزان الشاهد 
339,66515,66794.5,559,749,700,750,الواثق بالله العباسي المصري 
341,67230,67296.0,132,486,400,500,المرندي 
342,67362,67426.0,128,617,600,625,الملك الفائز 
343,67490,67577.0,174,274,200,275,ابن القزاز الأندلسي 
344,67664,67707.0,86,609,600,625,ابن هراوة القفصي 
346,67941,67989.5,97,546,500,550,[ابن غلام الفرس] الداني 
347,68038,68079.5,83,302,300,325,ابن متويه 
348,68121,68142.5,43,736,700,750,أبو إسحاق الشارعي 
350,68249,68267.5,37,471,400,475,ابن الزبير الأسواني قاضي قوص 
351,68286,68318.0,64,536,500,550,ابن اللقاط 
352,68350,68381.5,63,335,300,350,أبو إسحاق ابن قديد 
355,68524,68558.0,68,400,400,425,ابن سعدون الزاهد 
356,68592,68668.5,153,284,200,300,ابن أبي فاطمة الجملي 
357,68745,68776.5,63,653,600,675,أبو إسحاق المرادني 
358,68808,68849.0,82,451,400,475,ابن فتحون قاضي إقليش 
359,68890,68930.5,81,548,500,550,الأندوشري الأندلسي 
360,68971,69005.0,68,314,300,325,ابن أبي بحر الأعور 
362,69329,69500.5,343,317,300,325,الكريزي القاضي 
367,70276,70306.0,60,610,600,625,ابن حصين الحضرمي 
372,71745,71772.0,54,320,300,325,ابن جهينة الشهرزوري 
373,71799,71823.0,48,659,600,675,أبو إسحاق الإربلي 
374,71847,71911.0,128,400,400,425,أبو مسعود الدمشقي الحافظ 
377,72248,72305.0,114,737,700,750,قطب الدين الأدفوي 
378,72362,72395.0,66,608,600,625,ابن شاكلة [الكانمي] الأسواني 
379,72428,72457.5,59,642,600,650,ابن حمود 
380,72487,72511.0,48,695,600,700,شهاب الدين القزويني الصوفي 
381,72535,72665.0,260,259,200,275,ابن الصوفي العلوي 
383,72807,72897.5,181,299,200,300,أبو إسحاق القطان 
384,72988,73041.5,107,597,500,600,ابن مزيبل المقرئ الضرير 
388,74307,74424.0,234,265,200,275,إبراهيم الأرغياني الزاهد 
389,74541,74675.5,269,721,700,725,القاضي نور الدين الإسنائي 
390,74810,75184.0,748,745,700,750,جمال الكفاة 
392,75723,75976.5,507,225,200,225,إبراهيم اليزيدي 
395,76495,76578.5,167,590,500,600,ابن الحبيش البلنسي 
397,76698,76802.5,209,259,200,275,أبو إسحاق الجوزجاني 
398,76907,76927.5,41,364,300,375,ابن كلس أخو الوزير يعقوب 
399,76948,77006.5,117,301,300,325,أبو إسحاق الهسنجاني 
400,77065,77216.5,303,754,700,775,كاتب بكتمر 
401,77368,77446.0,156,350,300,350,أبو الفرج الطرسوسي 
402,77524,77546.5,45,273,200,275,أبو سلامة التجيبي 
403,77569,77589.5,41,289,200,300,أبو الحسين التجيبي 
404,77610,77683.5,147,262,200,275,أبان بن عيسى القرطبي 
406,78091,78341.5,501,270,200,275,أبو بكر الأطروش الماذرائي 
409,78802,78869.0,134,728,700,750,الشريف أبو العباس القنائي 
415,80300,80345.0,90,447,400,450,أبو الفتح ابن باشاذ الواعظ 
416,80390,80739.0,698,754,700,775,أمير أحمد مشد الشرابخاناه 
421,81889,81918.5,59,738,700,750,الشهاب ابن الزركشي 
423,82080,82112.0,64,463,400,475,أبو نصر الشيرازي 
425,82445,82486.5,83,739,700,750,موفق الدين الشارعي ms0239 
426,82528,82583.0,110,694,600,700,ابن نعمة النابلسي 
428,82872,82912.0,80,350,300,350,الجرذ قاضي حلب 
431,83158,83269.5,223,615,600,625,ابن كريم الملك المزدقاني 
432,83381,83415.0,68,580,500,600,سيف الدين الهكاري 
433,83449,83471.5,45,624,600,625,أبو العباس القيسي 
437,87595,87626.5,63,351,300,375,ابن الشكران الحسيني الشاعر 
438,87658,87683.0,50,462,400,475,أبو الحسن العرقي النحوي 
440,87947,87970.0,46,634,600,650,الأمير أحمد الكاملي 
443,88341,88409.0,136,453,400,475,ابن نفيس المقرئ 
444,88477,88750.5,547,749,700,750,الحاكم العباسي الثاني 
449,89675,89766.0,182,419,400,425,أبو الفتح الفخري الشاعر 
450,89857,89892.0,70,440,400,450,ابن أبي الربيع الأندلسي المقرئ 
451,89927,90492.0,1130,526,500,550,شمس المعالي كتيفات 
454,94539,94593.5,109,316,300,325,أبو النمر ابن صالح 
456,94871,94902.5,63,624,600,625,أبو الفتح الواسطي 
458,94959,95192.5,467,501,500,525,أبو العباس الحسيني 
459,95426,95533.5,215,390,300,400,ابن الموصول الحلبي 
460,95641,95671.0,60,416,400,425,ابن الحطاب القرطبي 
464,105615,105718.0,206,454,400,475,الوزير علم الدين الفارقي 
467,112819,112856.5,75,413,400,425,ابن أبي عصمة 
469,113396,113442.5,93,540,500,550,أبو العباس القصبي المقرئ 
470,113489,113518.0,58,718,700,725,علم الدين درادة 
472,113607,113693.5,173,531,500,550,أبو الطيب المقدسي الواعظ 
474,113844,113906.0,124,359,300,375,ابن بدهن البغدادي المقرئ 
475,113968,114132.5,329,603,600,625,النفيس القطرسي 
477,114515,114614.0,198,685,600,700,ابن برهان الربعي 
478,114713,114775.5,125,712,700,725,ابن الخطيب الإسنائي 
480,114938,114959.0,42,706,700,725,البلياني 
481,114980,115072.0,184,533,500,550,قاضي القضاة ابن أبي عقيل 
483,115733,115767.5,69,264,200,275,بحشل ابن وهب 
485,115912,116119.0,414,749,700,750,الواثق بالله ابن أبي دبوس 
488,117548,117701.5,307,461,400,475,قاضي القضاة الفارقي 
490,117945,117980.0,70,680,600,700,معين الدين الدروي 
491,118015,118075.5,121,459,400,475,الأسعد الركابي 
492,118136,118191.5,111,617,600,625,أحمد بن المدروز الزنبيل 
499,120014,120043.0,58,821,800,825,القلقشندي 
502,120316,120361.5,91,391,300,400,ابن رزيق البغدادي 
504,120483,120602.5,239,356,300,375,"أبو محمد المعقلي، ""الباز الأبيض"" "
505,120722,120764.5,85,310,300,325,أبو جعفر ابن هلال المقرئ 
507,120992,121039.5,95,365,300,375,ابن كاتب البكتمري 
509,121182,121252.5,141,739,700,750,شهاب الدين الوادي آشي 
511,121686,121820.0,268,733,700,750,النويري صاحب نهاية الأرب 
512,121954,121986.5,65,382,300,400,أبو علي، ابن المهدي الفاطمي 
514,122065,122257.0,384,452,400,475,الماهر الموازيني 
515,122449,122493.5,89,284,200,300,أبو عبد الرحمن النسوي 
516,122538,122609.5,143,697,600,700,الشهاب ابن السلعوس أخو الوزير 
525,124299,124654.5,711,562,500,575,ابن الزبير القاضي الرشيد 
526,125010,125568.0,1116,358,300,375,أبو الفوارس حفيد الإخشيد 
527,126126,126203.0,154,468,400,475,الشريف النصيبي قاضي دمشق 
528,126280,126310.0,60,640,600,650,ابن شكر الأندلسي المقرئ 
529,126340,126376.5,73,672,600,675,الكمال المحلي المقرئ 
530,126413,126436.0,46,427,400,450,أبو جعفر القيرواني المقرئ 
531,126459,126477.0,36,343,300,350,أبو بكرويه ابن الإخشيد 
532,126495,126554.0,118,445,400,450,تاج الأئمة المقرئ 
537,127097,127168.0,142,738,700,750,المقدسي قاضي القضاة الحنبلي 
540,127492,127535.5,87,394,300,400,أبو علي الأصبهاني 
541,127579,127676.5,195,686,600,700,أبو العباس المرسي الصوفي 
543,128025,128270.0,490,320,300,325,الحافظ ابن جوصا 
544,128515,128551.0,72,250,200,250,أبو الطاهر ابن السرح الأموي 
546,128745,128782.0,74,644,600,650,أحمد بن عيسى الكردي 
551,129652,129822.5,341,378,300,400,أبو جعفر المذبوح 
552,129993,130203.5,421,258,200,275,أبو مسعود الرازي الأصبهاني 
554,130809,131226.5,835,709,700,725,التاج ابن سعيد الدولة 
555,131644,131707.0,126,747,700,750,ابن البابا فرج 
556,131770,131877.0,214,552,500,575,ابن فضل الله الحسيني 
557,131984,132004.0,40,571,500,575,أبو العباس البلوي الصقلي 
558,132024,132112.5,177,349,300,350,أبو بكر الدينوري الخفاف 
559,132201,132238.0,74,454,400,475,العبيدلي الحسيني المحدث 
560,132275,132326.5,103,668,600,675,ابن أبي أصيبعة 
564,133286,133367.5,163,364,300,375,ابن السني 
566,135698,135843.0,290,266,200,275,أبو أيوب ابن شجاع 
567,135988,136005.0,34,384,300,400,أبو بكر المهندس 
568,136022,136147.5,251,292,200,300,أبو جعفر ابن رشدين 
569,136273,136385.0,224,755,700,775,أمين الملك ابن الغنام 
573,136768,137521.5,1507,500,500,525,أبو العباس الشارقي 
574,138275,138317.5,85,322,300,325,أبو طلحة الوساوسي 
575,138360,138454.0,188,790,700,800,العلاء السيرامي 
578,138637,138688.0,102,373,300,375,أبو العباس الخياط 
580,139125,139155.0,60,731,700,750,ابن عبد الصمد السنباطي 
581,139185,139374.5,379,709,700,725,ابن عطاء الله الصوفي الإسكندري 
584,139929,140081.0,304,351,300,375,قاضي الحرمين 
588,141244,141279.5,71,803,800,825,تاج الدين ابن الخراط 
589,141315,141360.0,90,732,700,750,صدر الدين الدندري 
590,141405,141432.0,54,568,500,575,أبو طالب ابن الشريفة 
593,141652,141699.5,95,773,700,775,شهاب الدين ابن شيخان 
595,141836,141890.0,108,312,300,325,أبو بكر الرازي 
598,142709,142741.0,64,615,600,625,أبو العباس الرأس 
604,144089,144125.5,73,281,200,300,العجيفي الطولوني 
605,144162,144208.0,92,255,200,275,بغا الأصغر 
606,144254,144364.5,221,637,600,650,الأمير تاج الدولة ابن بختيار 
609,144695,144727.0,64,731,700,750,نجم الدين القوصي 
610,144759,144812.5,107,704,700,725,الصاحب زين الدين ابن حنا 
613,145246,145586.5,681,322,300,325,أبو علي الروذباري 
619,149847,150007.0,320,357,300,375,الحافظ ابن رميح النسوي 
620,150167,150209.0,84,398,300,400,أبو العباس النسوي الصوفي 
624,150881,150938.0,114,344,300,350,أبو بكر المنكدري 
625,150995,151292.5,595,376,300,400,ابن النحاس المصري الحافظ 
627,151598,151641.0,86,339,300,350,ابن فضالة السوسي 
628,151684,151733.0,98,418,400,425,أبو الحسن بن مرزوق الأنماطي 
629,151782,151821.0,78,254,200,275,ابن مدرك 
632,152513,152568.0,110,340,300,350,أبو بكر الدامغاني 
633,152623,152677.5,109,368,300,375,أحمد ابن أبي المنهال 
634,152732,153117.5,771,725,700,725,شهاب الدين البعلبكي 
635,153503,153555.0,104,667,600,675,الأرموي قاضي الحسينية 
636,153607,153838.0,462,357,300,375,ابن كشاجم 
639,154804,154835.0,62,591,500,600,ابن زين التجار 
642,155637,156079.5,885,536,500,550,تلميذ ابن سابق 
643,156522,158061.5,3079,616,600,625,أبو العباس الحرار الأندلسي 
645,159776,159834.5,117,721,700,725,خطيب الفيوم 
648,160205,160274.0,138,762,700,775,الزرعي الزاهد 
650,160668,160742.5,149,670,600,675,تاج الدين ابن مكتوم المقرئ 
653,161264,161337.5,147,382,300,400,أبو العباس الشيرازي الحافظ 
654,161411,161484.0,146,272,200,275,أبو جعفر ابن رستم الأصبهاني 
657,161971,162895.0,1848,659,600,675,المستنصر، أول الخلفاء العباسيين بمصر 
658,163819,163910.5,183,412,400,425,أبو سعد الماليني (طاوس الفقراء) 
660,164252,164291.5,79,446,400,450,أبو الفضل الأستوائي 
662,164665,164709.5,89,709,700,725,محيى الدين القنائي 
667,166750,167005.0,510,338,300,350,أبو جعفر [ابن] النحاس النحوي 
669,168330,168378.0,96,300,300,325,ابن ساكن الزنجاني 
671,169499,169569.5,141,280,200,300,ابن أبي عمران البغدادي 
672,169640,169665.5,51,703,700,725,شهاب الدين الحلبي 
673,169691,169752.0,122,701,700,725,ابن قرصة الفيومي 
674,169813,169961.5,297,245,200,250,أحمد بن نصر المقرئ 
675,170110,170157.5,95,323,300,325,الحافظ أبو طالب البغدادي 
676,170205,170269.0,128,386,300,400,ابن أبي الليث المصري الحافظ 
679,170969,171044.0,150,301,300,325,أبو بكر البرذعي الحافظ 
680,171119,171155.0,72,630,600,650,ابن هبة الله الدمياطي 
682,172259,172403.0,288,595,500,600,أبو المكارم العوفي القرشي 
688,174158,174389.5,463,688,600,700,علم الدين ابن الصاحب 
689,174621,175084.5,927,213,200,225,أبو جعفر الكاتب وزير المأمون 
690,175548,175583.5,71,648,600,650,عماد الدين الحسيني 
691,175619,175676.0,114,756,700,775,شهاب الدين النحوي السمين 
693,176409,176440.0,62,679,600,700,جمال الدين الأدفوي 
694,176471,176843.0,744,439,400,450,أبو نصر المنازي الكاتب 
696,177375,177406.0,62,198,100,200,ابن السراج الشاعر 
697,177437,177555.5,237,264,200,275,أحمد بن ... المدائني 
700,177883,177936.5,107,342,300,350,أبو جعفر التجببي المقرئ 
701,177990,178011.0,42,682,600,700,أبو الفضائل القوصي 
702,178032,178074.5,85,809,800,825,الشهاب الحريري 
704,178648,178673.5,51,314,300,325,ابن أغجن الطولوني 
705,178699,178730.0,62,749,700,750,الشهاب العزيزي المهمندار 
706,178761,179541.5,1561,701,700,725,الحاكم العباسي [الأول] 
707,180322,180346.5,49,305,300,325,أحمد بن الحسن الطوسي 
708,180371,180399.0,56,803,800,825,الشهاب الملكاوي 
709,180427,180595.5,337,619,600,625,ابن الأثير الحلبي كاتب السر 
711,180941,180978.0,74,195,100,200,ابن عبد الأعلى الإفريقي 
712,181015,181052.5,75,619,600,625,الملك المفضل الأيوبي 
713,181090,181137.5,95,415,400,425,أبو العباس الإشبيلي الشاهد 
714,181185,181206.0,42,300,300,325,أبو الحسن ابن الحباب الهروي 
715,181227,181387.0,320,727,700,750,أبو العباس القمولي 
716,181547,181940.0,786,297,200,300,ابن بسطام الكاتب 
720,198498,198533.5,71,729,700,750,الجمال الوجيزي الشافعي 
721,198569,198595.0,52,718,700,725,نجم الدين ابن صبح 
723,198671,199566.0,1790,270,200,275,أحمد ابن المدبر 
725,200542,200612.5,141,453,400,475,أبو عبد الله السعدي قاضي القضاة 
726,200683,200714.0,62,652,600,675,حميد الأنصاري 
729,201622,207520.5,11797,731,700,750,جمال الدين الحلبي 
730,213419,213802.5,767,175,100,175,إدريس الأول 
731,214186,214364.5,357,752,700,775,الشريف أدي/ ودي أمير المدينة 
732,214543,214765.5,445,701,700,725,أرجواش الأعور 
733,214988,215125.0,274,717,700,725,أرسلان الدوادار 
734,215262,215316.5,109,801,800,825,أرغون شاه الإبراهيمي 
735,215371,215930.0,1118,731,700,750,أرغون الناصري نائب السلطنة 
736,216489,216564.5,151,774,700,775,أرغون تتر 
737,216640,216729.5,179,775,700,775,أرغون الأحمدي 
738,216819,216964.0,290,748,700,750,أرغون العلائي 
739,217109,217272.0,326,758,700,775,أرغون الصغير الكاملي 
740,217435,217663.0,456,750,700,750,أرغون شاه الناصري 
